オーダー番号,ステータス,支払方法,オーダー日,決済完了日,発送開始時期,発送終了時期,発送完了日,アイテム名,種類,品番,バーコード,個数,小計,配送料,販売タイプ,販売サイクル,クーポン名,クーポン割引額,ディスカウント割引額,ディスカウント率,まとめて割,セット割,代引き手数料,ギフトラッピング,ラッピング手数料,合計,内消費税,合計(10%),内消費税(10%),合計(8%),内消費税(8%),決済手数料,決済手数料率,氏(配送先),名(配送先),郵便番号(配送先),都道府県(配送先),住所(配送先),電話番号(配送先),お届け希望日,お届け希望時間,氏(購入者),名(購入者),郵便番号(購入者),都道府県(購入者),住所(購入者),電話番号(購入者),メールアドレス,領収書宛名,備考,メモ,原価
4360205615,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020093,東京都,千代田区平河町無番地,0,,,木内,貴士,1020093,東京都,千代田区平河町無番地,0,T3000023@city-chiyoda.ed.jp,,3F 1,,
4360205616,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020094,東京都,千代田区平河町無番地,1,,,木内,貴士,1020094,東京都,千代田区平河町無番地,1,T3000024@city-chiyoda.ed.jp,,3F 2,,
4360205617,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020095,東京都,千代田区平河町無番地,2,,,木内,貴士,1020095,東京都,千代田区平河町無番地,2,T3000025@city-chiyoda.ed.jp,,3F 3,,
4360205618,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020096,東京都,千代田区平河町無番地,3,,,木内,貴士,1020096,東京都,千代田区平河町無番地,3,T3000026@city-chiyoda.ed.jp,,3F 4,,
4360205619,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020097,東京都,千代田区平河町無番地,4,,,木内,貴士,1020097,東京都,千代田区平河町無番地,4,T3000027@city-chiyoda.ed.jp,,3F 5,,
4360205620,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020098,東京都,千代田区平河町無番地,5,,,木内,貴士,1020098,東京都,千代田区平河町無番地,5,T3000028@city-chiyoda.ed.jp,,3F 6,,
4360205621,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020099,東京都,千代田区平河町無番地,6,,,木内,貴士,1020099,東京都,千代田区平河町無番地,6,T3000029@city-chiyoda.ed.jp,,3F 7,,
4360205622,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020100,東京都,千代田区平河町無番地,7,,,木内,貴士,1020100,東京都,千代田区平河町無番地,7,T3000030@city-chiyoda.ed.jp,,3F 8,,
4360205623,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020101,東京都,千代田区平河町無番地,8,,,木内,貴士,1020101,東京都,千代田区平河町無番地,8,T3000031@city-chiyoda.ed.jp,,3F 9,,
4360205624,未発送,クレジットカード,1/11/2024 15:46,1/11/2024 15:46,,,,MONO消しゴム,中サイズ,,,2,160,0,物販,,,,,,,,0,,0,160,14,160,14,,,8,5,木内,貴士,1020102,東京都,千代田区平河町無番地,9,,,木内,貴士,1020102,東京都,千代田区平河町無番地,9,T3000032@city-chiyoda.ed.jp,,3F 10,,
